te	gloss	pos	status
గంగాధరం	Gangadharam (a man's name)	name (proper noun)	draft
రాయలు	Raya (the king Krishnadevaraya); honorific form of రాయ	name (noun, honorific plural)	draft
నువ్యు	you (sg.); misspelling of నువ్వు	pronoun — 2sg nominative	draft
కమలది	Kamala's (from Kamala, name)	noun — genitive/possessive	draft
వాజ్ణి	him (accusative of వాడు, 'he')	pronoun — accusative	draft
అనుకున్న	(that was) thought/intended — from అనుకొను	verb — past participle/adjectival	draft
ఇదేనా	is it this (one)? — from ఇది 'this' + emphatic -ఏ + question -ఆ	pronoun — interrogative emphatic	draft
ప్రజల	of the people (here); from ప్రజలు 'people'	noun — genitive plural	draft
వస్తున్నది	is coming (anger is arising); from వచ్చు	verb — present progressive, 3sg neut	draft
అర్ధం	meaning; here 'aరthaం avutundi' = it makes sense/is understood	noun	draft
పెదనాన్నగారి	of (her) father's elder brother — from పెదనాన్న (+ honorific గారు), genitive	noun — genitive, honorific	draft
పుట్టటం	arising, being born (verbal noun of పుట్టు)	verbal noun (gerund)	draft
ఏమను	"""what"" + say/think; part of ఏమనుకుంటున్నావు 'what do you think'"	fragment of verb (ఏమి + అను)	draft
వెళ్తావా	will you go? (from వెళ్ళు, to go)	verb — future, 2sg, interrogative	draft
మొదలుపెట్టారు	(they) started, began — from మొదలుపెట్టు	verb — past, 3pl honorific	draft
లావగా	stout, fat (adverbial of లావు)	adverb/adjectival form	draft
ఇవ్వేళజూచూద్దా	today let's go see (it) — ఇవ్వేళ 'today' + చూద్దాం, hortative of చూడు	adverb + verb (hortative, 1pl)	draft
కోస్తానులే	I'll pluck (them), don't worry — from కోయు	verb — future 1sg + emphatic లే	draft
మీకేం	what (do) you (want)? — మీకు + ఏం	pronoun phrase — dative 'to you' + 'what'	draft
కొన్నివాడి	some (are) his — కొన్ని 'some' + వాడి 'his'	merged tokens (pronoun + genitive pronoun)	draft
వెయ్యమ్మా	turn on, dear! (vēyu 'put/switch on' + affectionate ammā)	verb — imperative, 2sg + vocative particle	draft
అ	ah! (exclamation used here as 'yes')	interjection	draft
యాభ్జె	fifty (variant spelling of యాభై)	numeral	draft
ఆపుతున్నావా	are you stopping? (from ఆపు, to stop)	verb — present continuous, 2sg, interrogative	draft
పెట్టలేదు	didn't put (from పెట్టు 'to put')	verb — negative past, 3sg	draft
చదువుతు	reading (part of 'chaduvutunnaavu' — you are reading); from చదువు	verb — imperfective participle (split by hyphen)	draft
స్టేషనుకే	to the station (itself); from స్టేషను + dative -కు + emphatic -ఏ	noun — dative with emphatic clitic	draft
కావ్	"""Com"" as in B.Com (commerce degree)"	noun — abbreviation	draft
మిస్స్	Miss (English title of address)	noun — title	draft
దగ్గరికే	right up close (to it); dative of దగ్గర 'near' + emphatic -ే	adverb — dative + emphatic	draft
లేవుగదా	they aren't (in it), are they? — లేవు (neg. of ఉండు) + గదా	verb — negative present + tag particle	draft
చూడాల్సిన	yet to be seen; that must be seen (from చూడు, to see)	verb — obligative adjectival participle	draft
ప్రమోషను	promotion (loanword from English)	noun	draft
పెట్టను	I won't put (here: won't sign); from పెట్టు	verb — negative future, 1sg	draft
తెచ్చానో	(see) what a ... I brought; from తెచ్చు 'to bring'	verb — past 1sg + -ō (embedded question)	draft
ఒళ్లు	body; here: health (from ఒళ్ళు)	noun	draft
న్నాను			ocr-junk
పులి	tiger	noun	draft
వస్తాడేమో	may come, perhaps he'll come (from రా/వచ్చు, come)	verb — future 3sg masc + dubitative -ఏమో	draft
వస్తున్నాడా	is he coming? (interrogative)	verb — present, 3sg masc + question particle (from వచ్చు)	draft
రాలుతున్నాయా	are (they) falling off? — from రాలు 'to fall/drop'	verb — present continuous, 3pl, interrogative	draft
వెయ్యకమ్మా	don't shut (them), dear — negative imperative of వేయు	verb — neg. imperative 2sg + vocative అమ్మా	draft
రారాదూ	why don't you come? (from రావు/రా- 'to come')	verb — interrogative-hortative, 2sg	draft
ఎక్కువయ్యారయ్యా	have increased, sir! (from ఎక్కువ అగు, to increase)	verb — past, 3pl + vocative particle	draft
ఇళ్లు	houses (plural of ఇల్లు 'house')	noun — plural	draft
రానీ	let (him) come; fine, let it be (from రానివ్వు/రా)	verb — permissive imperative	draft
స్పినఛ్	spinach (English loanword)	noun	draft
చేశావా	did you do/make? (from చేయు); here 'did you take (a loan)'	verb — past interrogative, 2sg	draft
గులాబీపూలు	roses (plural of గులాబీపూవు, rose flower)	noun — plural	draft
గుంటూ	"first part of ""గుంటూరులో"" (in Guntur), split by line break"	name — fragment	draft
కోస్తున్నాను	I am plucking/picking (from కోయు, to pluck/cut)	verb — present continuous, 1sg	draft
ఖాలీగానే	vacant, empty (adverbial + emphatic -ē)	adverb (from ఖాలీ 'empty')	draft
తెప్పించి	having sent for/had brought (from తెప్పించు, caus. of తెచ్చు)	verb — causative verbal participle	draft
నడవటం	walking (verbal noun of నడువు 'to walk')	verbal noun	draft
దుకు			ocr-junk
వివరాలు	details (plural of వివరము)	noun — plural	draft
అరగంట	half an hour (అర 'half' + గంట 'hour')	noun	draft
ఎప్పుడమ్మా	when, dear? (from ఎప్పుడు 'when' + అమ్మా)	interrogative adverb with vocative particle	draft
కార్బన్	"carbon (in ""carbon monoxide"")"	noun (English loanword)	draft
మధ్యప్రదేశ్వాడు	a Madhya Pradesh man (person from Madhya Pradesh)	noun — masc sg	draft
చదవటానికి	for studying/reading (from చదువు, to read/study)	verb — infinitive/dative verbal noun	draft
తగులుతుందని	that it would hit/strike (from తగులు)	verb — nonpast 3sg neut. + quotative -ani	draft
కిందికి	down, downwards (from కింద 'below')	adverb — dative form	draft
దొరికాయి	were found/available (from దొరుకు)	verb — past, 3pl non-human	draft
ఏమిటో	"what (it) is; from ఏమిటి ""what"" + dubitative -ఓ"	interrogative pronoun (indefinite form)	draft
ఎక్కడున్నావు	where are you? (ఎక్కడ + ఉన్నావు)	phrase — interrogative + verb, present 2sg	draft
యివ్వు	give (lend) — imperative of ఇచ్చు	verb — imperative, 2sg	draft
ఒకసరి	once, one time (var. of ఒకసారి)	adverb	draft
రానిస్తారా	will they let (us) come in? (from రానివ్వు, to allow in)	verb — future/habitual, 3pl, interrogative	draft
పద్యాలు	poems (plural of పద్యం, verse/poem)	noun — plural	draft
లేదమ్మా	"""(it) is not, mother"" — లేదు + అమ్మా (address)"	negative verb + vocative noun	draft
తెల్లపూలా	white flowers? (tella 'white' + pūvu 'flower', pl. + question -ā)	noun phrase — plural with interrogative suffix	draft
బావమరిది	brother-in-law (wife's brother)	noun	draft
లీ			ocr-junk
ఉన్నకాకికి	to the crow that was (there); ఉన్న + కాకి-కి (dative)	phrase — rel. participle + noun, dative	draft
రతిరామ	Ratirama (speaker's name)	name	draft
ఉంగరం	ring (finger ring)	noun	draft
లేకపోవటం	not being (there); absence — verbal noun of లేకపోవు	verbal noun	draft
కాయలన్నీ	all the fruits/mangoes (from కాయ + అన్నీ)	noun phrase — plural + 'all'	draft
అనుకుందాం	let's assume/take it (so); from అనుకొను	verb — hortative, 1pl	draft
అరు			ocr-junk
వదిలెయ్యండి	leave it, drop it (from వదిలివేయు)	verb — imperative, polite/plural	draft
మీరూ	you too (మీరు 'you' + emphatic -ū)	pronoun — 2pl/honorific with inclusive suffix	draft
ఏడవకుండా	"without weeping (from ""ఏడవటం"", to cry)"	verb — negative adverbial (absolutive)	draft
గాంధి	Gandhi (surname)	name	draft
యిక్కడే	right here (here + emphatic -ē)	adverb (ఇక్కడ + emphatic)	draft
ఏరుతున్నాం	we are picking/gathering (from ఏరు)	verb — present continuous, 1pl	draft
మలయాళ	Malayalam (language), as modifier	adjective/noun (attributive form of మలయాళం)	draft
సన్నంగా	thinly, slim (from సన్నం 'thin')	adverb	draft
తీసుకుపోతారు	they take (you) in/away; from తీసుకుపోవు 'to take along'	verb — habitual/future, 3rd person plural	draft
కాయను	the fruit (object) — from కాయ	noun — accusative sg	draft
రూపాయలండీ	rupees, sir (rūpāyalu + polite -aṇḍī)	noun — plural + polite particle	draft
చెయ్యం	(what) shall we do — from చేయు 'to do'	verb — 1pl, colloquial	draft
అంకితమిబ్చుకోవచ్చు	can dedicate (a book) — to me; from అంకితమిచ్చుకొను	verb — potential/permissive form	draft
కాళ్లు	feet, legs (nom. pl.)	noun — plural of కాలు	draft
తీర్తాయి	will be resolved/ended (from తీరు)	verb — future, 3rd pl neut	draft
కలిసే	together, jointly (from కలియు/కలవు 'to join')	adverb (verbal participle)	draft
సౌకర్యాలు	facilities, amenities (pl. of సౌకర్యం)	noun — plural	draft
అట్ట	cover, wrapper (of a book)	noun	draft
పెడ్తన్నాను	I am putting/keeping (colloq. of పెట్టు)	verb — present continuous, 1sg	draft
ఎగ్రది	the red one (from ఎర్ర 'red' + -ది)	pronoun — nominalized adjective	draft
నీకొచ్చే	that comes to you (నీకు + వచ్చే, from వచ్చు)	pronoun+verb — dative + relative participle	draft
తియ్యండి	please take out/remove (a little); from తియ్యి/తీయు	verb — imperative, polite	draft
సర్మడిగితే			ocr-junk
విద్యార్థులుం	we are students (from విద్యార్థి 'student')	noun — plural, 1pl predicative	draft
ఇ			ocr-junk
చెప్పటం	teaching, telling (verbal noun of చెప్పు 'to tell')	verbal noun	draft
వుర్చిపోయాను	I forgot (variant of మర్చిపోయాను, from మరచిపో)	verb — past, 1sg	draft
పడుతున్నాయి	are falling (from పడు, to fall)	verb — present continuous, 3pl	draft
అవుతాడన్నమాట	means (that) he will become; so he'll become	verb phrase — future 3sg + 'that is to say' (from అవుతాడు + అన్నమాట)	draft
అండీ	polite address particle: sir/madam	particle (honorific)	draft
రచయితలు	authors, writers (plural of రచయిత)	noun — plural	draft
మీవేనా	are (they) yours? (మీవి + ఏనా question marker)	pronoun — possessive plural + interrogative	draft
అడగకపోవచ్చు	may not ask (from అడుగు, 'to ask')	verb — negative potential, 3pl	draft
వేయింబుకున్నారు	had (medicine) applied to themselves; from వేయించుకొను	verb — past, 3rd person honorific (OCR-garbled వేయించుకున్నారు)	draft
కట్టించాడు	had (it) built; caused to build (from కట్టు)	verb — causative past, 3sg masc	draft
పుస్తకాలండీ	books (polite); from పుస్తకం 'book' + అండీ	noun — plural + polite particle	draft
దగ్గరుంది	is near (దగ్గర + ఉంది)	postposition + verb, present 3sg	draft
పోవడం	going (verbal noun of పోవు, 'to go')	verbal noun	draft
విహార్లో	in (Vasanta) Vihar — locative of విహార్	proper noun — locative	draft
పెళ్లిళ్లు	weddings, marriages (plural of పెళ్లి)	noun — plural	draft
ఎదురుగానే	right opposite, directly facing (from ఎదురుగా + emphatic -ఏ)	adverb/postposition	draft
చెల్లించేవారు	used to pay (habitual past of చెల్లించు, to pay)	verb — habitual past, 3pl/hon	draft
పట్టుకోవటం	holding/catching (verbal noun of పట్టుకొను)	verbal noun	draft
కడగటం	washing (verbal noun of కడుగు, to wash)	verbal noun	draft
తీరాన	on the shore/coast (of the sea); loc. of తీరం	noun — locative	draft
పట్టుకున్నారు	(they) caught/seized it; from పట్టుకొను	verb — past, 3pl/honorific	draft
నిల్పోరా	stand up! (familiar imperative of నిల్చు)	verb — imperative	draft
బిస్కెట్లు	biscuits (plural of బిస్కెట్)	noun — plural	draft
అంతవుందికి	for that many people (dative of అంతమంది; text shows OCR-garbled అంతమందికి)	noun — dative	draft
ఆపండు	that fruit (ఆ 'that' + పండు 'fruit')	noun phrase	draft
తారీకన్నమాట	"""is the date, then"" (తారీకు 'date' + అన్నమాట 'that means')"	noun phrase — noun + idiomatic tag	draft
కరెహళ్ళిలో	in Karehalli (village name)	name — locative	draft
ఎక్కగలం	we can climb; from ఎక్కు 'to climb'	verb — potential, 1pl	draft
టున్నాను			ocr-junk
చేస్తుందంటారా	do you say it's worth (it)? — from చేయు + అను	verb — present 3sg + quotative interrogative	draft
పెద్దదో	how big (it is)! — exclamatory of పెద్దది 'big one'	adjectival noun — exclamatory	draft
పచ్చిమిరపకాయలు	green chillies (plural of పచ్చిమిరపకాయ)	noun — plural	draft
విద్యార్థినివి	you are a (female) student; from విద్యార్థిని	noun + 2sg predicative suffix	draft
వదిలాడు	he let go, released (from వదులు)	verb — past, 3sg masc	draft
ఏట్లాగయ్యా	how (will it be), man? — colloquial ఏట్లాగు + వ్యా (voc.)	interrogative adverb + vocative particle	draft
యింటికి	to the house (from ఇల్లు 'house')	noun — dative singular	draft
ఊగు	swing (imperative of ఊగు, to swing/sway)	verb — imperative, 2sg	draft
పలకదు	will not answer/respond (from పలుకు 'to speak')	verb — negative future, 3sg non-masc	draft
కొట్టుంది	there is a shop (కొట్టు 'shop' + ఉంది 'is')	noun + verb (contracted)	draft
ఒరిస్సావాళ్ళు	Orissa people (ఒరిస్సా + వాళ్ళు, plural)	noun — plural	draft
దాచటం	hiding, concealing (verbal noun of దాచు 'to hide')	verbal noun (gerund)	draft
పడ్డాయి	fell / were lying (from పడు 'to fall')	verb — past, 3pl neuter	draft
బళ్ళో	in the school (బడి + -లో, locative)	noun — locative of బడి	draft
విషయాలను	matters, things (accusative pl. of విషయం)	noun — accusative plural	draft
ఇద్దర్నీ	both (of them) — accusative of ఇద్దరు 'two people'	pronoun/numeral — accusative	draft
న్నది			ocr-junk
శిష్యులు	disciples, students (pl. of శిష్యుడు)	noun — plural	draft
కుడికన్ను	the right eye (కుడి + కన్ను)	noun	draft
అకక్లేదు	not necessary, no need (for అక్కర్లేదు)	verb — negative, 'is not needed'	draft
తీర్చటమే	the very act of repaying (a loan); from తీర్చు	verbal noun + emphatic -ఏ	draft
అయి	"having become; part of ""అయి ఉంటుంది"" = must be"	verb — past participle of అగు (to become)	draft
లేస్తాం	we will get up (from లేచు 'to rise')	verb — future, 1pl	draft
తీసుకుంటున్నావా	are you taking? (from తీసుకోను/తీసుకోవడం, to take)	verb — present interrogative, 2sg	draft
క్లాసువాళ్ళం	we classmates (class-folk, 1st person plural)	noun — plural, 1st person inclusive form of క్లాసువాళ్ళు	draft
లేవండి	please get up (from లేచు, 'to rise')	verb — imperative, polite/plural	draft
ఎనిమిదో	eighth (ordinal of ఎనిమిది 'eight')	adjective — ordinal numeral	draft
మునిగింది	it sank/got soaked (from మునుగు)	verb — past, 3sg neut	draft
రామ్మూర్తి	Rammurti (a man's name)	name	draft
వెళ్ళవా	won't you go? (from వెళ్ళు 'to go')	verb — negative interrogative, 2sg	draft
నమ్మటానికి	to believe (dative infinitive of nammu, 'believe')	verb — infinitive/dative verbal noun	draft
చిన్నక్షయ్య	younger (elder) sister [for చిన్నక్కయ్య]	noun	draft
కలమే	(it is) a pen indeed — కలం 'pen' + emphatic -ఏ	noun with emphatic particle	draft
లేచాం	we got up (from లేచు 'to rise')	verb — past, 1pl	draft
ఉంచుకో	keep (it) for yourself; from ఉంచుకొను	verb — imperative, 2sg	draft
దెందుకు	why? (colloquial for దేనికి/ఎందుకు)	interrogative adverb	draft
కోడలుగానే	only as a daughter-in-law (from కోడలు)	noun — as-form with emphatic -ఏ	draft
కర్			ocr-junk
పండుగ	festival (here attributive: festival saris)	noun	draft
కార్యక్రమాలు	programmes, events (pl. of కార్యక్రమం)	noun — plural	draft
పరిగెత్తి	having run; run (and) — from పరిగెత్తు 'to run'	verb — adverbial participle	draft
తుంచింది	broke/snapped off (from తుంచు, to snap)	verb — past, 3sg	draft
కురవకపోతే	if it does not rain (from కురవడం, to rain/pour)	verb — negative conditional	draft
ఇవ్వమను	tell (him) to give — from ఇవ్వు + అను	verb — imperative, causative/quotative	draft
ద			ocr-junk
అప్పగించారు	handed over (from అప్పగించు)	verb — past, 3rd person plural/honorific	draft
అనుభవాలను	experiences (object form); from అనుభవం	noun — accusative plural	draft
బస్సులేవో	which buses (buses + interrogative ఏవో); from బస్సు	noun phrase — plural + interrogative	draft
పదమూడో	thirteenth; number thirteen (ordinal of పదమూడు)	adjective — ordinal numeral	draft
గోపాలకృష్ణ	Gopalakrishna (personal name)	name	draft
కొన్న	bought, purchased (from కొను, to buy)	verb — past participle/adjectival	draft
ఉండేవారు	used to be/remain (habitual past, hon./pl.); from ఉండు	verb — habitual past, 3rd person honorific/plural	draft
అదినాకు	that (is) to me — from అది + నాకు	pronoun + dative pronoun	draft
వున్నారు	are (here: is sitting) — aux. from ఉండు, honorific pl.	verb — present, 3rd person honorific plural	draft
వీడిది	"his (this boy's); from వీడు ""he, this fellow"""	pronoun — genitive/possessive	draft
సామ్రాజ్యాన్ని	the empire (object); from సామ్రాజ్యం	noun — accusative sg	draft
ఆడినట్టు	as if playing (from ఆడు 'to play')	verb — past participle + నట్టు 'as if'	draft
కాన్ల			ocr-junk
పోట్లాడ్తాడు	quarrels, fights (from పోట్లాడు)	verb — habitual/future, 3sg masc	draft
ఇటు	this way, in this direction	adverb	draft
దొర్లింది	rolled, slipped down (from దొర్లు)	verb — past, 3sg neut	draft
కష్టాలన్నీ	all the troubles (kaṣṭamu + annī)	noun — plural + 'all'	draft
రథం	chariot (here: a chariot design in rangoli)	noun	draft
వెళ్ళువుగాని	"""go on, then"" — permissive: you may go (from వెళ్ళు)"	verb — permissive/concessive form of వెళ్ళు 'to go'	draft
టానికి	"fragment of తిరగటానికి ""for going around"" (dative verbal noun -టానికి)"	suffix fragment (split word)	draft
నిమిషాలకు	at (thirty) minutes; dative pl. of నిమిషం 'minute'	noun — dative plural	draft
రవీంద్రభారతి	Ravindra Bharati (Hyderabad auditorium)	name (proper noun, locative context)	draft
అరగంటలో	in half an hour (from అరగంట, half-hour)	noun — locative	draft
మాటలకు	"to these words (dative of ""māṭa—word"")"	noun — dative plural	draft
న్నాడు			ocr-junk
తీసుకొని	having taken; took (from తీసుకొను)	verb — perfective participle	draft
ఏంర్యా	"""What, you!"" — ఏం + familiar male vocative ర్యా"	interjection (vocative phrase)	draft
కట్టలు	bundles (plural of కట్ట)	noun — plural	draft
యివ్వండి	give! (polite imperative of ఇవ్వు)	verb — imperative, polite	draft
ఇంతే	this much only; that's all (from ఇంత)	pronoun/adjective — emphatic form of ఇంత	draft
గౌరెన్ని	how many for Gowri (Gauri + how many)	noun+interrogative, contracted dative	draft
టెడ్డు	toast, slice of bread (from English 'toast')	noun	draft
మంచివాడు	a good man (మంచి 'good' + వాడు 'man')	noun — masc. sg.	draft
వెళ్ళిపోయి	having gone away/left (from వెళ్ళిపోవు)	verb — past participle	draft
వెళ్లను	I will not go (from వెళ్లు, 'to go')	verb — negative future, 1sg	draft
వమిటిరా	what? (colloq. ఏమిటి + రా, familiar address to a male)	interrogative pronoun with vocative particle	draft
పూలున్నాయి	there are flowers (పూలు + ఉన్నాయి)	noun + verb — present, 3pl	draft
ఊడుస్తున్నానండీ	I am sweeping (polite); from ఊడ్చు 'to sweep'	verb — present continuous, 1sg + polite -అండీ	draft
మాష్టర్లు	teachers (plural of మాష్టరు, from English 'master')	noun — plural	draft
అవతలికి	to the other side, over there (from అవతల)	adverb (dative form)	draft
చేసేశారు	did/completed (it) — from చేయు 'to do', past 3rd person honorific with ఏయు completive	verb — past, 3rd person honorific	draft
నిల్చుంటే	if (we) stand; from నిల్చు (to stand)	verb — conditional	draft
మరణ	death (combining form of మరణం)	noun — stem in compound	draft
శిష్యులకు	to/for the disciples (dative pl. of శిష్యుడు)	noun — dative plural	draft
వళ్లన్నమాట	years, that is (ఏళ్లు + అన్నమాట; OCR of ఏళ్లన్నమాట)	noun phrase — plural + emphatic 'that means'	draft
పుడ్తాయో	where/when they will arise (from పుట్టు, 'be born')	verb — future 3pl + doubt particle ఓ	draft
పెట్టుకుంటాం	we put/use (for ourselves) — from పెట్టుకొను	verb — present-future, 1pl	draft
అన్నమాటి	so it means; that's to say (from అన్నమాట)	idiomatic phrase (noun-based)	draft
ఉత్తరాలు	letters (plural of ఉత్తరం)	noun — plural	draft
ఇతనెవరు	who is he? (ఇతను 'he' + ఎవరు 'who')	pronoun phrase (interrogative)	draft
వెయ్యనా	shall I put/add? (from వేయు, to put)	verb — interrogative, 1sg	draft
కొంటాను	I will buy (from కొను, to buy)	verb — future, 1sg	draft
మాడుతున్నది	is getting scorched/burnt (from మాడు)	verb — present progressive, 3sg neut	draft
ఎవరినైనా	anybody (as object); from ఎవరు 'who'	pronoun — accusative + -ainā 'any'	draft
బెంగుళూరు	Bangalore (here: our Bangalore trip)	proper noun	draft
ఇచ్చానో	(to whom) I gave — from ఇవ్వు 'give'	verb — past 1sg + dubitative -ఓ	draft
నీళ్లు	water (plural form of నీరు)	noun — plural	draft
ఎక్కడున్నది	where is it? (ఎక్కడ + ఉన్నది, from ఉండు 'to be')	phrase — interrogative + verb, present 3sg neut	draft
వముందో	"whatever is (in it); from ఏముంది ""what is there"""	pronoun+verb — dubitative form (OCR of ఏముందో)	draft
అడిగారా	did (you) ask; from అడుగు 'to ask'	verb — past interrogative, 2nd person honorific	draft
కొట్టువాడు	shopkeeper (speaker label)	noun	draft
పక్శవాళ్ళ	of the neighbours (next-door people's); from పక్కవాళ్ళు	noun — genitive plural	draft
ఇవేళరాను	"""I won't come today"" (ఈవేళ today + రాను I won't come)"	phrase — adverb + verb, negative 1sg	draft
ఆయనకేరాదు	he himself doesn't know it (ఆయనకు + ఏ + రాదు)	phrase — dative pronoun + negative verb	draft
వస్తూ	coming (while ~) — from వచ్చు 'to come'	verb — imperfective participle	draft
వెళ్తున్నావా	are you going? (from వెళ్ళు 'to go')	verb — present, 2sg, question	draft
అందిందా	did (it) reach/arrive? (from అందు)	verb — past interrogative, 3sg neut	draft
యజమానులు	owners, masters (pl. of యజమాని)	noun — plural	draft
ఎందుకో	for some reason; why (unknown)	adverb (ఎందుకు + ఓ)	draft
పంబవర్ష			ocr-junk
బయటికి	outside, out (dative of బయటు 'outside')	adverb/noun — dative	draft
డెట్ఫైరెండు	seventy-two (OCR variant of డెబ్బై రెండు)	numeral	draft
నాలిక	tongue (on the tongue)	noun	draft
స్నేహితులకు	to (your) friends; from స్నేహితుడు 'friend', pl. dative	noun — plural dative	draft
ఎక్కి	having climbed (from ఎక్కు, to climb)	verb — perfective participle	draft
తున్నట్లుంది	seems to be (…-ing); from -తున్నట్లు ఉంది (here: 'seems to be singing')	verb — auxiliary phrase, present, 3sg	draft
ముందీ	first, these — ముందు 'first' + ఈ 'these'	adverb + demonstrative (contracted)	draft
పళ్ళేలు	plates (plural of పళ్ళెం)	noun — plural	draft
ఎస్	"""S"" — letter in the degree abbreviation B.Sc."	noun — letter name (part of abbreviation)	draft
్దెక్కింది			ocr-junk
నవ్వెంత	however much you (నువ్వు + ఎంత); here 'as much as you'	pronoun + interrogative quantifier (contracted)	draft
అటువంటిది	one like that, that type	pronoun/adjective — 'such a thing' (from అటువంటి)	draft
లైబ్రరీది	the library's (one); belongs to the library	noun — possessive of లైబ్రరీ 'library'	draft
కొమ్మమీదినించి	from on this branch (కొమ్మ 'branch' + మీద 'on' + నుంచి 'from')	noun phrase — ablative	draft
అదేం	"""what's that"" — here: nothing of the sort (అది + ఏమి)"	pronoun phrase (interrogative)	draft
రచయిత్రి	authoress, female writer	noun, feminine	draft
వండే	cooking (that which cooks) — adjectival form of వండు 'to cook'	verb — relative participle (imperfective)	draft
దగ్గర్నించే	from (near) him only — దగ్గర + నుంచి + emphatic ఏ	postposition phrase (emphatic)	draft
నేనొక	I ... a (నేను 'I' + ఒక 'a/one')	pronoun + numeral (contracted)	draft
పక్కక్షు	to the side (for పక్కకు, dat. of పక్క 'side')	noun — dative	draft
ఎందుకున్నారు	why were (you) there? (ఎందుకు + ఉన్నారు, from ఉండు)	interrogative + verb — present-perfect, 2pl/honorific	draft
ఇందిర	Indira (Indira Gandhi)	name	draft
జవహర్	Jawahar (a name; here the book's title)	name	draft
వస్తాయంటున్నారు	they say (the water) will come	verb — quotative compound (వచ్చు + అను), present 3pl	draft
ఊల్లో	in the village (from ఊరు)	noun — locative	draft
ఊళ్ళలో	in villages/towns; locative pl. of ఊరు	noun — locative plural	draft
కోసిస్తావా	will you pluck (and give) me? — from కోసివ్వు	verb — future/interrogative, 2sg	draft
వద్దాం	let's go (and come back); we shall	verb — hortative 1pl of వచ్చు/వెళ్ళి వద్దాం	draft
ఫీట్లు	stunts, antics (pl. of ఫీట్ < English 'feat')	noun — plural	draft
సినిమాకే	to the movie (emphatic); from సినిమా 'movie'	noun — dative + emphatic clitic	draft
మోనాక్రైడ్	"monoxide (in ""carbon monoxide"")"	noun (loanword)	draft
కూర్చుంటు	"sitting — part of కూర్చుంటున్నాను ""I am sitting"" (from కూర్చొను)"	verb — present continuous stem (word split across line)	draft
ఇంకో	another, one more (variant of ఇంకొక)	adjective/determiner	draft
పరిపాలిస్తూ	while ruling (from పరిపాలించు, to rule)	verb — durative participle	draft
అటెండరు	attender, attendant (English loanword)	noun	draft
జరగటంలేదు	is not moving (జరుగు 'to move' + లేదు)	verb — negative present	draft
చెయ్యబడింది	was done/made (passive); from చేయు 'to do'	verb — passive past, 3sg neut	draft
ఒక్కటే	is (one and) the same; from ఒక్కటి 'one'	pronoun/adjective — predicative, emphatic	draft
పేలుస్తాను	in ancient times, long ago	adverb	draft
చక్రధరరావు	Chakradhararao (personal name)	name	draft
పట్టుకొని	holding/grabbing (having caught); from పట్టుకొను	verb — adverbial participle	draft
అల్లినన్ని	as many as (I) knitted; from అల్లు 'to weave/knit'	verb — relative past + అన్ని 'as many'	draft
సరేనండీ	"""okay, sir!"" (polite assent; from సరే + అండీ)"	interjection — polite	draft
విషయాలు	matters, things (plural of విషయం)	noun — plural	draft
హర్యానావాళ్ళం	we are Haryana people (Haryana + plural -వాళ్ళు + 1pl)	noun phrase — predicative, 1st person plural	draft
అంటున్నాడా	is he saying? (from అను, to say)	verb — present continuous, 3sg masc, interrogative	draft
ఆడ్డాం	let's play (from ఆడు, to play)	verb — hortative, 1pl	draft
నేర్పు	teach (stem of నేర్పుతున్నారు 'they are teaching'); from నేర్పు	verb — stem	draft
అమ్మగారి	mother's (honorific, oblique of అమ్మగారు)	noun — oblique/genitive	draft
పేదవాడే	a poor man indeed (emphatic of పేదవాడు)	noun — nom. sg. masc. with emphatic -ఏ	draft
Pఆప			ocr-junk
వూరు	village, town (variant of ఊరు)	noun	draft
ల్ఫొచ్చింది			ocr-junk
విరిగిపోయింది	broke (off); from విరిగిపోవు 'to break'	verb — past, 3sg neut	draft
సంభవించే	that occurs/happens (from సంభవించు)	verb — relative participle	draft
కొమ్మలున్నాయి	there are branches (కొమ్మలు + ఉన్నాయి)	noun + verb — 'branches exist', 3pl	draft
ఊపు	shake/rock (it)! — imperative of ఊపు 'to shake'	verb — imperative, 2sg	draft
నిన్నసాయంత్రం	yesterday evening (నిన్న + సాయంత్రం)	adverbial noun phrase	draft
మాష్టరా	teacher? (మాష్టరు 'master, teacher' + question marker -ā)	noun — interrogative form	draft
స్నేహితుడివి	(they are) his friend's; from స్నేహితుడు 'friend'	noun — predicative form, 'friend's'	draft
చేశాడు	did (he); from చేయు 'to do' — here 'deceived'	verb — past, 3sg masc	draft
కిలోమీటర్లు	kilometers (plural of కిలోమీటరు)	noun — plural	draft
వైమానికుల	of the aviators/pilots (from వైమానికుడు)	noun — genitive plural	draft
పెద్దక్కయ్య	eldest elder sister	noun	draft
చెల్లెళ్ల	younger sisters' (of chellelu, pl. of chelli)	noun — plural, oblique/genitive	draft
పీనూ	Peenu (name, called out)	name — vocative	draft
జాగ్రత్తగానే	carefully (indeed) — from జాగ్రత్త 'care'	adverb	draft
చూళారుగాని	everyone has seen (it) — from చూచు 'to see'	verb — perfect, 3pl	draft
వెళ్లమ్మా	go, dear! (వెళ్లు + అమ్మా address)	verb — imperative + vocative	draft
బయల్దేర్తావా	will you set out/start? (from బయల్దేరు)	verb — future interrogative, 2sg	draft
పొలానికి	to the field/farmland (from పొలం)	noun — dative singular	draft
వినిపెంచటంలేదా	can't you hear? (from వినిపించు, to be heard)	verb — negative interrogative	draft
